player_name,team,fantasy_pts,adp
L.Jackson,,481.5399960577488,19.8
J.Allen,,438.27999567240477,
J.Hurts,,421.5599973797798,
J.Daniels,,420.1999982446432,32.2
B.Mayfield,,385.49999709427357,50.4
J.Burrow,,382.8199950605631,28.1
P.Mahomes,,346.3799950927496,51.5
J.Goff,,333.679995469749,
B.Nix,,331.25999714434147,
S.Darnold,,329.6599963530898,166.4
K.Murray,,303.23999655246735,80.7
J.Herbert,,289.0799973681569,106.4
B.Purdy,,272.85999605059624,
G.Smith,,265.9999953061342,
C.Stroud,,259.85999631136656,122.8
