player_name,team,adp,fantasy_pts,position
Ja'Marr Chase,CIN,1.6,,WR
Justin Jefferson,MIN,4.9,332.48000264167786,WR
CeeDee Lamb,DAL,5.7,,WR
Puka Nacua,LAR,9.2,,WR
Malik Nabers,NYG,9.8,271.6000005751848,WR
Nico Collins,HOU,12.3,248.9000015258789,WR
Amon-Ra St. Brown,DET,13.1,339.88000267744064,WR
Brian Thomas Jr.,JAX,15.3,,WR
Drake London,ATL,18.2,280.80000299215317,WR
A.J. Brown,PHI,20.4,257.20000398159027,WR
Ladd McConkey,LAC,24.4,,WR
Tee Higgins,CIN,24.7,49.20000033825636,TE
Tyreek Hill,MIA,27.1,,WR
Davante Adams,LAR,30.8,,WR
Mike Evans,TB,32.0,,WR
Jaxon Smith-Njigba,SEA,37.4,253.00000071525574,WR
Marvin Harrison Jr.,ARI,38.8,,WR
Terry McLaurin,WAS,39.9,324.5000015050173,WR
Garrett Wilson,NYJ,41.7,51.94000053405762,WR
DJ Moore,CHI,45.1,323.2000027447939,WR
DK Metcalf,PIT,46.5,195.20000338554382,WR
Courtland Sutton,DEN,49.7,254.80000038444996,WR
DeVonta Smith,PHI,50.1,,WR
Xavier Worthy,KC,51.9,253.70000046491623,WR
Zay Flowers,BAL,55.2,209.50000144541264,WR
