player_name,team,adp,fantasy_pts,position
Ja'Marr Chase,CIN,1.6,,WR
Justin Jefferson,MIN,4.9,332.48000264167786,WR
CeeDee Lamb,DAL,5.7,,WR
Puka Nacua,LAR,9.3,,WR
Malik Nabers,NYG,10.0,271.6000005751848,WR
Nico Collins,HOU,12.4,248.9000015258789,WR
Amon-Ra St. Brown,DET,13.1,339.88000267744064,WR
Brian Thomas Jr.,JAX,15.4,,WR
Drake London,ATL,18.3,280.80000299215317,WR
A.J. Brown,PHI,20.9,257.20000398159027,WR
Ladd McConkey,LAC,24.1,,WR
Tee Higgins,CIN,25.0,49.20000033825636,TE
Tyreek Hill,MIA,27.6,,WR
Davante Adams,LAR,30.8,,WR
Mike Evans,TB,32.0,,WR
Jaxon Smith-Njigba,SEA,37.9,253.00000071525574,WR
Marvin Harrison Jr.,ARI,39.1,,WR
Terry McLaurin,WAS,39.5,324.5000015050173,WR
Garrett Wilson,NYJ,41.7,51.94000053405762,WR
DJ Moore,CHI,45.0,323.2000027447939,WR
DK Metcalf,PIT,46.8,195.20000338554382,WR
Courtland Sutton,DEN,49.9,254.80000038444996,WR
DeVonta Smith,PHI,50.1,,WR
Xavier Worthy,KC,51.9,253.70000046491623,WR
Zay Flowers,BAL,55.0,209.50000144541264,WR
